cell_id,lot_id,station_id,failure_probability,early_warning_probability,predicted_soh,predicted_remaining_cycles,likely_root_cause,recommended_follow_up
CELL-00032,LOT-009,ST-08,1.0,0.934,0.6606,0.0,Accelerated capacity fade (cell already below 80% SOH),Pull cell for teardown; check anode lithium plating and electrolyte loss.
CELL-00069,LOT-001,ST-06,1.0,0.9374,0.6267,0.0,Accelerated capacity fade (cell already below 80% SOH),Pull cell for teardown; check anode lithium plating and electrolyte loss.
CELL-00074,LOT-009,ST-05,0.9997,0.9354,0.7535,0.0,Accelerated capacity fade (cell already below 80% SOH),Pull cell for teardown; check anode lithium plating and electrolyte loss.
CELL-00049,LOT-003,ST-01,0.9979,0.8238,0.7135,0.0,Accelerated capacity fade (cell already below 80% SOH),Pull cell for teardown; check anode lithium plating and electrolyte loss.
CELL-00060,LOT-008,ST-05,0.9976,0.9414,0.8316,0.0,Accelerated capacity fade,Pull cell for teardown; check anode lithium plating and electrolyte loss.
CELL-00090,LOT-001,ST-01,0.996,0.806,0.7483,0.0,Accelerated capacity fade (cell already below 80% SOH),Pull cell for teardown; check anode lithium plating and electrolyte loss.
CELL-00037,LOT-008,ST-04,0.9954,0.8338,0.7946,0.0,Accelerated capacity fade (cell already below 80% SOH),Pull cell for teardown; check anode lithium plating and electrolyte loss.
CELL-00027,LOT-009,ST-08,0.9952,0.9282,0.7657,0.0,Accelerated capacity fade,Pull cell for teardown; check anode lithium plating and electrolyte loss.
CELL-00003,LOT-010,ST-01,0.9868,0.6967,0.725,0.0,Low state of health (cell already below 80% SOH),Prioritise for replacement; confirm capacity with reference performance test.
CELL-00014,LOT-009,ST-02,0.9855,0.779,0.7637,0.0,Accelerated capacity fade,Pull cell for teardown; check anode lithium plating and electrolyte loss.
CELL-00051,LOT-008,ST-04,0.983,0.8759,0.8084,0.0,Accelerated capacity fade,Pull cell for teardown; check anode lithium plating and electrolyte loss.
CELL-00045,LOT-011,ST-07,0.9765,0.4548,0.7851,2.9,Test-station anomaly signal (cell already below 80% SOH),Re-test on a reference station; audit station calibration drift.
CELL-00102,LOT-001,ST-05,0.9442,0.6531,0.7766,0.0,Accelerated capacity fade,Pull cell for teardown; check anode lithium plating and electrolyte loss.
CELL-00019,LOT-011,ST-02,0.9389,0.7692,0.763,8.4,Accelerated capacity fade,Pull cell for teardown; check anode lithium plating and electrolyte loss.
CELL-00117,LOT-006,ST-04,0.9386,0.3228,0.7832,11.4,Sustained thermal exposure,Review duty cycle thermal load; validate temperature sensor calibration.
CELL-00083,LOT-007,ST-02,0.9187,0.9268,0.8781,125.8,Accelerated capacity fade,Pull cell for teardown; check anode lithium plating and electrolyte loss.
CELL-00030,LOT-003,ST-01,0.9132,0.6972,0.8695,145.7,Accelerated capacity fade,Pull cell for teardown; check anode lithium plating and electrolyte loss.
CELL-00041,LOT-010,ST-03,0.906,0.5951,0.7724,10.1,Low state of health (cell already below 80% SOH),Prioritise for replacement; confirm capacity with reference performance test.
CELL-00070,LOT-002,ST-04,0.8517,0.8626,0.8154,15.1,Sustained thermal exposure (cell already below 80% SOH),Review duty cycle thermal load; validate temperature sensor calibration.
CELL-00002,LOT-010,ST-01,0.8497,0.4355,0.857,76.2,Accelerated capacity fade,Pull cell for teardown; check anode lithium plating and electrolyte loss.
CELL-00095,LOT-004,ST-03,0.8302,0.8969,0.8678,110.8,Accelerated capacity fade,Pull cell for teardown; check anode lithium plating and electrolyte loss.
CELL-00007,LOT-006,ST-06,0.8183,0.1938,0.8367,82.9,Accelerated capacity fade,Pull cell for teardown; check anode lithium plating and electrolyte loss.
CELL-00067,LOT-007,ST-04,0.8147,0.3871,0.8022,21.7,Sustained thermal exposure,Review duty cycle thermal load; validate temperature sensor calibration.
CELL-00068,LOT-007,ST-06,0.8087,0.6626,0.8603,132.9,Accelerated capacity fade,Pull cell for teardown; check anode lithium plating and electrolyte loss.
CELL-00058,LOT-010,ST-03,0.7479,0.7608,0.8299,46.3,Accelerated capacity fade,Pull cell for teardown; check anode lithium plating and electrolyte loss.
CELL-00120,LOT-003,ST-05,0.7347,0.6503,0.767,17.5,Low state of health,Prioritise for replacement; confirm capacity with reference performance test.
CELL-00044,LOT-010,ST-06,0.7102,0.8787,0.9008,196.8,Accelerated capacity fade,Pull cell for teardown; check anode lithium plating and electrolyte loss.
CELL-00034,LOT-006,ST-08,0.6818,0.3072,0.8301,81.2,Sustained thermal exposure,Review duty cycle thermal load; validate temperature sensor calibration.
CELL-00116,LOT-005,ST-04,0.6806,0.1992,0.7791,15.2,Test-station anomaly signal,Re-test on a reference station; audit station calibration drift.
CELL-00085,LOT-002,ST-02,0.6285,0.3269,0.8436,146.4,Sustained thermal exposure,Review duty cycle thermal load; validate temperature sensor calibration.
CELL-00035,LOT-002,ST-04,0.6277,0.4007,0.8293,95.1,Sustained thermal exposure,Review duty cycle thermal load; validate temperature sensor calibration.
CELL-00087,LOT-010,ST-06,0.4026,0.6327,0.7626,5.7,Low state of health,Prioritise for replacement; confirm capacity with reference performance test.
